split,accuracy,precision,recall,log_loss
train,0.5678014778936911,0.6056154426709098,0.26989935937261705,0.6789891057993415
validation,0.5567964569463256,0.5233644844751184,0.2583222832798972,0.6849548891410492
test,0.5587107072059316,0.5100448265718576,0.25791467652184774,0.6845189254006185
